Factors for n=100
9900 : 2*2*3*3*5*5*11
9901 : 9901
9902 : 2*4951
9903 : 3*3301
9904 : 2*2*2*2*619
9905 : 5*7*283
9906 : 2*3*13*127
9907 : 9907
9908 : 2*2*2477
9909 : 3*3*3*367
9910 : 2*5*991
9911 : 11*17*53
9912 : 2*2*2*3*7*59
9913 : 23*431
9914 : 2*4957
9915 : 3*5*661
9916 : 2*2*37*67
9917 : 47*211
9918 : 2*3*3*19*29
9919 : 7*13*109
9920 : 2*2*2*2*2*2*5*31
9921 : 3*3307
9922 : 2*11*11*41
9923 : 9923
9924 : 2*2*3*827
9925 : 5*5*397
9926 : 2*7*709
9927 : 3*3*1103
9928 : 2*2*2*17*73
9929 : 9929
9930 : 2*3*5*331
9931 : 9931
9932 : 2*2*13*191
9933 : 3*7*11*43
9934 : 2*4967
9935 : 5*1987
9936 : 2*2*2*2*3*3*3*23
9937 : 19*523
9938 : 2*4969
9939 : 3*3313
9940 : 2*2*5*7*71
9941 : 9941
9942 : 2*3*1657
9943 : 61*163
9944 : 2*2*2*11*113
9945 : 3*3*5*13*17
9946 : 2*4973
9947 : 7*7*7*29
9948 : 2*2*3*829
9949 : 9949
9950 : 2*5*5*199
9951 : 3*31*107
9952 : 2*2*2*2*2*311
9953 : 37*269
9954 : 2*3*3*7*79
9955 : 5*11*181
9956 : 2*2*19*131
9957 : 3*3319
9958 : 2*13*383
9959 : 23*433
9960 : 2*2*2*3*5*83
9961 : 7*1423
9962 : 2*17*293
9963 : 3*3*3*3*3*41
9964 : 2*2*47*53
9965 : 5*1993
9966 : 2*3*11*151
9967 : 9967
9968 : 2*2*2*2*7*89
9969 : 3*3323
9970 : 2*5*997
9971 : 13*13*59
9972 : 2*2*3*3*277
9973 : 9973
9974 : 2*4987
9975 : 3*5*5*7*19
9976 : 2*2*2*29*43
9977 : 11*907
9978 : 2*3*1663
9979 : 17*587
9980 : 2*2*5*499
9981 : 3*3*1109
9982 : 2*7*23*31
9983 : 67*149
9984 : 2*2*2*2*2*2*2*2*3*13
9985 : 5*1997
9986 : 2*4993
9987 : 3*3329
9988 : 2*2*11*227
9989 : 7*1427
9990 : 2*3*3*3*5*37
9991 : 97*103
9992 : 2*2*2*1249
9993 : 3*3331
9994 : 2*19*263
9995 : 5*1999
9996 : 2*2*3*7*7*17
9997 : 13*769
9998 : 2*4999
9999 : 3*3*11*101
